record_id,month,region,product_family,forecast_demand_units,actual_demand_units,beginning_inventory_units,planned_supply_receipts_units,units_fulfilled,ending_inventory_units
218,2026-04,EMEA,Power Modules,198,199,80,124,186,18
219,2026-04,EMEA,Safety Components,129,139,35,97,128,4
220,2026-04,EMEA,Communication Modules,164,165,56,127,163,20
221,2026-05,EMEA,Industrial Sensors,255,259,72,222,256,38
222,2026-05,EMEA,Control Units,140,145,43,123,135,31
223,2026-05,EMEA,Power Modules,160,148,56,105,137,24
224,2026-05,EMEA,Safety Components,121,121,47,82,118,11
225,2026-05,EMEA,Communication Modules,178,173,42,148,159,31
226,2026-06,EMEA,Industrial Sensors,276,270,51,232,261,22
227,2026-06,EMEA,Control Units,152,137,38,106,127,17
228,2026-06,EMEA,Power Modules,187,181,48,140,161,27
229,2026-06,EMEA,Safety Components,138,138,48,109,128,29
230,2026-06,EMEA,Communication Modules,167,175,55,135,169,21
231,2026-07,EMEA,Industrial Sensors,250,242,79,209,237,51
232,2026-07,EMEA,Control Units,176,154,36,139,141,34
233,2026-07,EMEA,Power Modules,195,199,65,136,180,21
234,2026-07,EMEA,Safety Components,132,115,31,104,111,24
235,2026-07,EMEA,Communication Modules,199,194,47,138,172,13
236,2026-08,EMEA,Industrial Sensors,269,282,61,230,256,35
237,2026-08,EMEA,Control Units,156,149,53,112,137,28
238,2026-08,EMEA,Power Modules,192,206,84,142,200,26
239,2026-08,EMEA,Safety Components,150,151,53,96,142,7
240,2026-08,EMEA,Communication Modules,169,153,56,112,138,30
241,2026-01,APAC,Industrial Sensors ,250,248,77,213,237,53
242,2026-01,APAC,Control Units ,161,191,67,145,187,25
243,2026-01,APAC,Power Modules ,214,231,53,174,209,18
244,2026-01,APAC,Safety Components ,140,130,52,78,119,11
245,2026-01,APAC,Communication Modules ,185,186,70,107,166,11
246,2026-02,APAC,Industrial Sensors,312,311,109,213,310,12
247,2026-02,APAC,Control Units,191,202,67,145,184,28
248,2026-02,APAC,Power Modules,215,191,52,152,180,24
249,2026-02,APAC,Safety Components,160,166,59,120,162,17
250,2026-02,APAC,Communication Modules,216,232,70,157,207,20
251,2026-03,APAC,Industrial Sensors,248,253,86,169,242,13
252,2026-03,APAC,Control Units,170,170,52,122,167,7
253,2026-03,APAC,Power Modules,233,229,81,168,216,33
254,2026-03,APAC,Safety Components,168,170,56,126,163,19
255,2026-03,APAC,Communication Modules,183,207,81,165,203,43
256,2026-04,APAC,Industrial Sensors,272,237,46,200,212,34
257,2026-04,APAC,Control Units,172,181,68,127,174,21
258,2026-04,APAC,Power Modules,201,209,67,153,197,23
259,2026-04,APAC,Safety Components,148,159,30,120,142,8
260,2026-04,APAC,Communication Modules,183,178,65,123,162,26
261,2026-05,APAC,Industrial Sensors,242,253,74,194,229,39
262,2026-05,APAC,Control Units,170,172,50,130,171,9
263,2026-05,APAC,Power Modules,197,192,61,122,169,14
264,2026-05,APAC,Safety Components,137,115,37,76,108,5
265,2026-05,APAC,Communication Modules,186,188,35,172,170,37
266,2026-06,APAC,Industrial Sensors,267,244,52,192,225,19
267,2026-06,APAC,Control Units,183,176,61,108,163,6
268,2026-06,APAC,Power Modules,220,246,74,167,228,13
269,2026-06,APAC,Safety Components,156,173,72,110,166,16
270,2026-06,APAC,Communication Modules,177,180,55,126,170,11
271,2026-07,APAC,INDUSTRIAL SENSORS,232,236,96,154,227,23
272,2026-07,APAC,CONTROL UNITS,228,241,80,183,234,29
273,2026-07,APAC,POWER MODULES,243,251,105,147,227,25
274,2026-07,APAC,SAFETY COMPONENTS,155,182,58,127,174,11
275,2026-07,APAC,COMMUNICATION MODULES,225,221,68,163,202,29
276,2026-08,APAC,Industrial Sensors,269,298,124,205,289,40
277,2026-08,APAC,Control Units,163,171,31,156,156,31
278,2026-08,APAC,Power Modules,251,228,75,152,210,17
279,2026-08,APAC,Safety Components,151,164,41,154,164,31
280,2026-08,APAC,Communication Modules,186,198,48,134,174,8
281,2026-01,Northern Europe,Industrial Sensors,176,195,69,128,189,8
282,2026-01,Northern Europe,Control Units,123,115,30,84,104,10
283,2026-01,Northern Europe,Power Modules,171,173,52,128,164,16
284,2026-01,Northern Europe,Safety Components,99,97,35,67,89,13
285,2026-01,Northern Europe,Communication Modules,125,139,53,90,134,9
286,2026-02,Northern Europe,industrial sensors,229,242,78,176,225,29
287,2026-02,Northern Europe,control units,156,162,49,117,145,21
288,2026-02,Northern Europe,power modules,146,125,46,83,125,4
289,2026-02,Northern Europe,safety components,120,116,35,92,111,16
290,2026-02,Northern Europe,communication modules,146,161,41,122,144,19
291,2026-03,Northern Europe,Industrial Sensors,208,212,50,190,196,44
292,2026-03,Northern Europe,Control Units,148,148,44,126,145,25
293,2026-03,Northern Europe,Power Modules,175,176,40,142,162,20
294,2026-03,Northern Europe,Safety Components,120,116,34,88,105,17
295,2026-03,Northern Europe,Communication Modules,155,147,44,106,130,20
296,2026-04,Northern Europe,Industrial Sensors,221,219,52,167,205,14
297,2026-04,Northern Europe,Control Units,140,159,42,130,148,24
298,2026-04,Northern Europe,Power Modules,145,169,62,134,162,34
299,2026-04,Northern Europe,Safety Components,101,105,26,79,95,10
300,2026-04,Northern Europe,Communication Modules,140,144,30,127,141,16
301,2026-05,Northern Europe,Industrial Sensors,201,196,76,148,190,34
302,2026-05,Northern Europe,Control Units,133,130,48,86,124,10
303,2026-05,Northern Europe,Power Modules,146,147,39,109,139,9
304,2026-05,Northern Europe,Safety Components,95,103,21,92,97,16
305,2026-05,Northern Europe,Communication Modules,132,141,43,118,135,26
306,2026-06,Northern Europe,Industrial Sensors,210,230,85,159,219,25
307,2026-06,Northern Europe,Control Units,120,117,24,92,111,5
308,2026-06,Northern Europe,Power Modules,174,180,72,133,175,30
309,2026-06,Northern Europe,Safety Components,107,112,39,89,112,16
310,2026-06,Northern Europe,Communication Modules,122,112,44,75,105,14
311,2026-07,Northern Europe,Industrial Sensors,226,243,64,169,222,11
312,2026-07,Northern Europe,Control Units,143,148,60,95,138,17
313,2026-07,Northern Europe,Power Modules,136,148,54,108,138,24
314,2026-07,Northern Europe,Safety Components,126,113,44,83,103,24
315,2026-07,Northern Europe,Communication Modules,126,119,33,95,115,13
316,2026-08,Northern Europe,Industrial Sensors,225,225,69,174,214,29
317,2026-08,Northern Europe,Control Units,118,113,37,84,107,14
318,2026-08,Northern Europe,Power Modules,182,182,36,171,168,39
319,2026-08,Northern Europe,Safety Components,108,117,32,90,115,7
320,2026-08,Northern Europe,Communication Modules,160,156,52,105,138,19
321,2026-01,Americas,Industrial Sensors,274,278,104,182,275,11
322,2026-01,Americas,Control Units,151,162,53,132,156,29
323,2026-01,Americas,Power Modules,172,175,52,151,166,37
324,2026-01,Americas,Safety Components,143,144,58,76,127,7
325,2026-01,Americas,Communication Modules,178,164,34,137,153,18
326,2026-02,Americas,Industrial Sensors,241,238,55,205,216,44
327,2026-02,Americas,Control Units,202,197,79,158,195,42
328,2026-02,Americas,Power Modules,200,205,68,144,191,21
329,2026-02,Americas,Safety Components,138,141,42,99,132,9
330,2026-02,Americas,Communication Modules,193,181,35,167,178,24
331,2026-03,Americas,Industrial Sensors ,301,317,92,248,279,61
332,2026-03,Americas,Control Units ,173,170,62,136,165,33
333,2026-03,Americas,Power Modules ,233,222,85,142,205,22
334,2026-03,Americas,Safety Components ,141,142,34,125,136,23
335,2026-03,Americas,Communication Modules ,195,186,66,135,176,25
336,2026-04,Americas,Industrial Sensors,262,282,95,222,268,49
337,2026-04,Americas,Control Units,165,147,28,141,142,27
338,2026-04,Americas,Power Modules,195,217,66,170,214,22
339,2026-04,Americas,Safety Components,135,130,24,121,124,21
340,2026-04,Americas,Communication Modules,198,185,50,142,182,10
341,2026-05,Americas,Industrial Sensors,234,226,58,190,220,28
342,2026-05,Americas,Control Units,152,152,37,124,139,22
343,2026-05,Americas,Power Modules,181,162,48,102,145,5
344,2026-05,Americas,Safety Components,135,147,29,119,131,17
345,2026-05,Americas,Communication Modules,171,182,67,138,171,34
346,2026-06,Americas,Industrial Sensors,261,278,111,208,262,57
347,2026-06,Americas,Control Units,158,177,35,145,172,8
348,2026-06,Americas,Power Modules,207,204,42,168,195,15
349,2026-06,Americas,Safety Components,121,118,26,110,117,19
350,2026-06,Americas,Communication Modules,199,187,34,160,169,25
351,2026-07,Americas,Industrial Sensors,239,240,51,187,215,23
352,2026-07,Americas,Control Units,164,151,60,119,150,29
353,2026-07,Americas,Power Modules,164,174,57,133,162,28
354,2026-07,Americas,Safety Components,161,141,46,100,138,8
355,2026-07,Americas,Communication Modules,207,190,39,163,184,18
356,2026-08,Americas,Industrial Sensors,248,223,52,179,212,19
357,2026-08,Americas,Control Units,176,177,59,122,164,17
358,2026-08,Americas,Power Modules,210,224,88,141,205,24
359,2026-08,Americas,Safety Components,161,176,50,149,175,24
360,2026-08,Americas,Communication Modules,189,165,37,139,154,22
361,2026-01,EMEA,INDUSTRIAL SENSORS,213,208,65,163,193,35
362,2026-01,EMEA,CONTROL UNITS,150,152,52,126,151,27
363,2026-01,EMEA,POWER MODULES,168,176,51,138,174,15
364,2026-01,EMEA,SAFETY COMPONENTS,119,110,28,96,100,24
365,2026-01,EMEA,COMMUNICATION MODULES,163,165,34,138,164,8
366,2026-02,EMEA,Industrial Sensors,236,260,49,244,241,52
367,2026-02,EMEA,Control Units,148,136,50,94,125,19
368,2026-02,EMEA,Power Modules,198,199,46,147,187,6
369,2026-02,EMEA,Safety Components,144,154,32,135,153,14
370,2026-02,EMEA,Communication Modules,160,154,60,110,144,26
371,2026-03,EMEA,Industrial Sensors,296,285,92,190,260,22
372,2026-03,EMEA,Control Units,181,176,42,143,170,15
373,2026-03,EMEA,Power Modules,202,203,77,128,183,22
374,2026-03,EMEA,Safety Components,128,124,29,98,120,7
375,2026-03,EMEA,Communication Modules,204,224,46,196,201,41
376,2026-04,EMEA,industrial sensors,244,253,98,199,243,54
377,2026-04,EMEA,control units,142,141,44,91,130,5
378,2026-04,EMEA,power modules,205,205,79,133,204,8
379,2026-04,EMEA,safety components,139,139,46,114,139,21
380,2026-04,EMEA,communication modules,144,148,57,116,146,27
381,2026-05,EMEA,Industrial Sensors,241,257,101,174,245,30
382,2026-05,EMEA,Control Units,153,142,58,92,129,21
383,2026-05,EMEA,Power Modules,199,175,42,139,171,10
384,2026-05,EMEA,Safety Components,132,132,41,102,123,20
385,2026-05,EMEA,Communication Modules,159,157,59,128,157,30
386,2026-06,EMEA,Industrial Sensors,250,249,83,182,241,24
387,2026-06,EMEA,Control Units,145,151,34,123,141,16
388,2026-06,EMEA,Power Modules,186,157,59,125,153,31
389,2026-06,EMEA,Safety Components,136,118,33,95,108,20
390,2026-06,EMEA,Communication Modules,179,184,47,158,183,22
391,2026-07,EMEA,Industrial Sensors,247,256,95,209,255,49
392,2026-07,EMEA,Control Units,177,192,73,126,183,16
393,2026-07,EMEA,Power Modules,207,205,75,148,181,42
394,2026-07,EMEA,Safety Components,128,133,40,87,117,10
395,2026-07,EMEA,Communication Modules,167,190,35,189,187,37
396,2026-08,EMEA,Industrial Sensors,255,231,75,161,208,28
397,2026-08,EMEA,Control Units,148,159,62,93,148,7
398,2026-08,EMEA,Power Modules,209,215,47,158,192,13
399,2026-08,EMEA,Safety Components,123,114,42,82,108,16
400,2026-08,EMEA,Communication Modules,186,167,44,125,151,18
401,2026-01,APAC,Industrial Sensors,248,251,92,187,240,39
402,2026-01,APAC,Control Units,187,197,55,151,190,16
403,2026-01,APAC,Power Modules,195,177,73,122,177,18
404,2026-01,APAC,Safety Components,171,173,53,143,168,28
405,2026-01,APAC,Communication Modules,199,179,59,114,160,13
406,2026-02,APAC,Industrial Sensors,288,312,109,243,284,68
407,2026-02,APAC,Control Units,187,197,72,150,197,25
408,2026-02,APAC,Power Modules,211,222,69,151,211,9
409,2026-02,APAC,Safety Components,156,150,55,104,143,16
410,2026-02,APAC,Communication Modules,209,196,59,176,196,39
411,2026-03,APAC,Industrial Sensors,293,288,104,181,265,20
412,2026-03,APAC,Control Units,189,187,45,142,181,6
413,2026-03,APAC,Power Modules,220,207,40,190,187,43
414,2026-03,APAC,Safety Components,152,157,33,132,155,10
415,2026-03,APAC,Communication Modules,201,227,79,178,222,35
416,2026-04,APAC,Industrial Sensors,301,278,90,206,264,32
417,2026-04,APAC,Control Units,179,194,38,162,180,20
418,2026-04,APAC,Power Modules,201,215,43,191,203,31
419,2026-04,APAC,Safety Components,133,129,39,89,118,10
420,2026-04,APAC,Communication Modules,206,222,55,178,204,29
421,2026-05,APAC,Industrial Sensors ,298,287,63,257,270,50
422,2026-05,APAC,Control Units ,172,179,69,135,174,30
423,2026-05,APAC,Power Modules ,185,187,46,142,181,7
424,2026-05,APAC,Safety Components ,164,159,36,136,147,25
425,2026-05,APAC,Communication Modules ,143,142,46,96,125,17
426,2026-06,APAC,Industrial Sensors,305,295,93,221,263,51
427,2026-06,APAC,Control Units,168,186,38,163,171,30
428,2026-06,APAC,Power Modules,202,209,46,169,207,8
429,2026-06,APAC,Safety Components,142,147,39,137,144,32
430,2026-06,APAC,Communication Modules,190,156,41,120,142,19
431,2026-07,APAC,Industrial Sensors,246,238,69,184,219,34
432,2026-07,APAC,Control Units,197,184,72,147,184,35
433,2026-07,APAC,Power Modules,246,260,60,218,243,35
434,2026-07,APAC,Safety Components,185,180,32,155,174,13
435,2026-07,APAC,Communication Modules,180,172,41,158,172,27
436,2026-08,APAC,Industrial Sensors,250,232,68,188,219,37
437,2026-08,APAC,Control Units,185,182,33,165,178,20
438,2026-08,APAC,Power Modules,187,188,67,121,176,12
439,2026-08,APAC,Safety Components,173,160,57,103,142,18
440,2026-08,APAC,Communication Modules,211,210,39,176,209,6
441,2026-01,Northern Europe,Industrial Sensors,205,216,75,154,205,24
442,2026-01,Northern Europe,Control Units,125,118,28,103,115,16
443,2026-01,Northern Europe,Power Modules,135,136,25,121,123,23
444,2026-01,Northern Europe,Safety Components,109,91,34,65,83,16
445,2026-01,Northern Europe,Communication Modules,129,133,36,102,130,8
446,2026-02,Northern Europe,Industrial Sensors,211,208,56,173,189,40
447,2026-02,Northern Europe,Control Units,139,145,40,131,140,31
448,2026-02,Northern Europe,Power Modules,148,161,52,101,142,11
449,2026-02,Northern Europe,Safety Components,103,116,21,104,103,22
450,2026-02,Northern Europe,Communication Modules,150,148,52,98,134,16
451,2026-03,Northern Europe,INDUSTRIAL SENSORS,190,190,80,113,174,19
